"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v","Dlambda,v"
36.0715,164.0,0.693555,-0.3446,616.0,0.585555,19.1935
38.8672,74.0,1.3216,-0.68565,562.0,0.828711,21.4654
43.6373,46.0,2.3966,-1.2884,268.0,0.0107728,25.673
24.0088,84.0,0.797625,-0.1073,409.0,0.0888096,8.36001
30.9854,79.0,1.03788,-0.38805,322.0,0.148769,13.0614
34.2037,135.0,0.998155,-0.2016,400.0,0.0047714,16.5462
30.5982,59.0,1.28304,-0.56675,180.0,0.000105868,12.2003
21.7624,71.0,0.705825,-0.28875,206.0,1.8241e-05,7.11364
29.8858,107.0,0.980475,-0.1851,342.0,0.0149204,12.2778
16.2543,71.0,0.563885,-0.14445,260.0,0.00296587,4.83732
29.2831,70.0,1.17621,-0.30035,318.0,0.0786134,11.6138
16.272,128.0,0.356055,-0.175285,339.0,0.0513426,4.87608
27.5476,89.0,0.9251,-0.2122,310.0,0.0351131,10.509
18.2245,87.0,0.47484,-0.166,270.0,0.0123082,5.64652
39.2106,54.0,1.8245,-1.4554,212.0,9.97175e-05,19.7223
21.5207,55.0,0.97116,-0.24875,318.0,0.0906536,6.9206
40.5396,60.0,1.9651,-0.4142,434.0,0.00851309,24.5662
38.2441,98.0,1.0737,-0.14175,610.0,0.195795,22.5971
34.413,60.0,1.35085,-0.6414,302.0,0.0336008,15.1941
40.9595,57.0,1.8051,-0.3666,557.0,1.64907,24.8682
43.8325,39.0,3.07915,-0.17255,385.0,0.0336364,28.8997
37.5097,68.0,1.6041,-0.3215,405.0,0.425492,20.095
29.4139,157.0,0.625705,-0.15285,548.0,0.0803302,11.9677
32.1475,65.0,1.18913,-0.4365,276.0,0.0104163,13.7277
33.4522,128.0,0.82316,-0.1439,621.0,1.28399,15.5077
33.5977,159.0,0.745625,-0.2159,457.0,0.182045,15.8491
35.354,190.0,0.968365,-0.1757,538.0,0.296802,18.1756
32.5756,110.0,1.01111,-0.21605,536.0,0.23065,14.752
39.0013,64.0,1.6242,-0.46435,303.0,0.00731767,20.8979
36.1882,82.0,1.19881,-0.40675,510.0,0.332541,18.2749
42.4248,35.0,3.06265,-1.95225,205.0,0.000210308,19.2304
32.9068,94.0,1.07925,-0.4914,330.0,0.0173402,14.7689
28.1129,90.0,0.741475,-0.4678,210.0,0.000583502,10.7972
39.6532,55.0,1.78965,-1.0494,243.0,0.00310101,20.9202
39.3664,66.0,1.60076,-0.65925,376.0,0.0836268,22.2592
10.443,83.0,0.28382,-0.10559,254.0,0.00135851,2.83273
30.5677,126.0,0.742525,-0.30265,651.0,1.27455,12.6612
40.7254,48.0,2.22545,-0.51525,524.0,0.617762,21.9645
14.8382,177.0,0.18877,-0.04625,792.0,0.903372,4.12251
39.4438,47.0,2.31205,-0.3885,368.0,0.0828831,21.1258
15.6696,93.0,0.465915,-0.1221,279.0,0.000827338,4.64091
19.9558,69.0,0.658555,-0.2635,229.0,0.0108322,6.30199
29.6254,56.0,1.47838,-0.30635,306.0,0.00913142,11.6889
32.5572,67.0,1.26641,-0.33095,314.0,0.0140179,14.0588
39.0425,68.0,1.3211,-0.26225,416.0,0.182252,21.728
40.7188,57.0,1.67325,-0.1743,499.0,0.60889,24.0866
22.43,182.0,0.371555,-0.35725,320.0,0.00923608,7.61203
23.3478,96.0,0.656295,-0.1421,502.0,0.30467,8.01052
45.6026,37.0,3.0945,-1.0258,201.0,0.00212852,25.5292
40.2424,52.0,2.12385,-0.1997,412.0,0.643365,22.4479
38.9748,77.0,1.34775,-0.08765,751.0,1.51566,22.6734
31.7362,120.0,0.80078,-0.2075,378.0,0.148106,13.8565
33.1873,108.0,0.91195,-0.15135,458.0,0.53572,15.2787
39.2741,65.0,1.6917,-0.43075,610.0,0.452528,22.3839
31.1824,149.0,0.532225,-0.175,643.0,1.81079,13.0839
22.4147,66.0,0.81286,-0.43575,224.0,4.28098e-05,7.32545
39.6367,104.0,1.45259,-0.27035,385.0,0.0467071,26.1105
21.884,169.0,0.558885,-0.53985,287.0,0.0588662,7.33288
37.2622,50.0,1.7308,-0.62275,403.0,0.0658074,17.5862
36.9956,85.0,1.6863,-0.29565,445.0,0.0521005,19.9518
19.8927,50.0,0.9345,-0.4415,134.0,0.00037557,6.1
42.0096,42.0,2.3857,-0.535,591.0,1.64805,21.731
33.6001,95.0,0.859805,-0.386,324.0,0.281982,15.4556
31.1076,70.0,0.8854,-0.58435,210.0,0.00208902,12.6587
29.4653,126.0,0.75196,-0.12575,546.0,0.396152,11.9068
38.2441,56.0,1.75735,-0.30575,574.0,0.270322,20.241
11.3497,196.0,0.099455,-0.06113,479.0,0.00557153,3.14006
43.3392,39.0,2.6981,-0.3941,484.0,1.18462,24.8099
14.4312,69.0,0.43462,-0.160575,262.0,0.00580774,4.14735
28.3776,83.0,0.85693,-0.2718,259.0,0.00239344,11.0266
14.5089,161.0,0.235805,-0.20325,278.0,7.34737e-05,4.22545
17.3883,118.0,0.49779,-0.0931,432.0,0.00768887,5.32373
28.0625,92.0,0.934565,-0.23325,275.0,5.58921e-05,10.8562
14.3571,186.0,0.19004,-0.075165,494.0,0.0832718,4.15269
39.9349,116.0,1.16055,-0.12345,753.0,0.792294,27.682
32.5289,94.0,1.0137,-0.1399,450.0,0.068856,14.6446
39.2353,77.0,1.33895,-0.24965,455.0,0.197473,23.4763
36.902,50.0,1.7238,-0.33205,657.0,1.73472,17.6839
31.9549,49.0,1.82864,-0.21975,556.0,0.788468,13.2486
12.9512,72.0,0.461875,-0.12899,239.0,0.000601986,3.64818
38.838,52.0,2.00235,-0.22975,517.0,0.390803,20.9854
32.8994,60.0,1.29255,-0.31005,472.0,0.223939,14.2046
41.2182,57.0,1.7988,-0.38845,578.0,0.916438,25.3431
43.2932,49.0,2.1902,-0.39535,416.0,0.101556,25.1063
39.4788,123.0,1.17709,-0.2653,625.0,0.622421,26.3966
21.3889,83.0,0.748225,-0.10265,385.0,0.0713432,7.04219
39.916,79.0,1.5742,-0.18025,575.0,0.78451,26.8595
37.144,113.0,1.0352,-0.4218,493.0,0.613111,20.8148
20.1874,137.0,0.31967,-0.13965,357.0,0.00306174,6.51097
25.6667,67.0,1.07112,-0.20155,268.0,2.73765e-05,9.19445
15.5262,131.0,0.3376,-0.143685,305.0,0.00062399,4.60364
27.5013,116.0,0.518085,-0.4005,298.0,0.00606766,10.4834
