"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v"
44.2532,184.0,0.45415,-0.20255,505.0,0.325031
62.7164,168.0,0.78655,-0.34615,411.0,0.122455
21.5107,106.0,0.41597,-0.15275,335.0,0.415053
23.418,188.0,0.240675,-0.11485,491.0,0.132532
26.1169,211.0,0.21083,-0.08345,687.0,1.5749
24.2329,220.0,0.20301,-0.08445,697.0,0.494905
65.2475,147.0,0.91395,-0.37625,393.0,0.465461
29.8083,174.0,0.32655,-0.1587,466.0,0.0207722
49.7975,161.0,0.60905,-0.30465,401.0,0.0501395
48.1148,181.0,0.51075,-0.31565,382.0,0.0291032
90.7829,178.0,0.97035,-0.5303,445.0,0.166246
45.6662,145.0,0.60515,-0.26255,398.0,0.433144
59.0264,168.0,0.7471,-0.3131,447.0,0.126204
32.6638,151.0,0.427625,-0.1489,494.0,0.14326
55.4057,154.0,0.69805,-0.29935,426.0,0.721346
26.3844,260.0,0.17145,-0.0798,754.0,1.03649
33.9641,137.0,0.49765,-0.3015,281.0,0.00781486
20.886,218.0,0.172065,-0.0682,699.0,0.891597
15.4394,171.0,0.180805,-0.0893,418.0,0.125368
57.7219,187.0,0.59805,-0.2268,569.0,1.14858
58.6243,157.0,0.7924,-0.31405,413.0,0.214789
51.2181,144.0,0.76475,-0.2651,423.0,0.201191
31.5514,201.0,0.29685,-0.11945,628.0,0.187098
50.7773,254.0,0.35825,-0.1715,713.0,1.21546
40.0876,178.0,0.4275,-0.2631,403.0,0.0254459
27.9683,156.0,0.34956,-0.16465,403.0,0.0260474
35.2537,129.0,0.5314,-0.20925,382.0,0.369612
21.4069,165.0,0.24692,-0.0881,590.0,1.24406
32.4656,178.0,0.34405,-0.1523,496.0,1.31488
53.6282,224.0,0.4466,-0.23445,563.0,0.223212
54.4416,189.0,0.5483,-0.21435,603.0,0.183304
31.7819,179.0,0.33905,-0.1348,553.0,0.169282
29.4935,171.0,0.33225,-0.15035,481.0,0.173034
26.3705,142.0,0.348295,-0.166,369.0,0.0252488
53.6068,197.0,0.5176,-0.332,415.0,0.00944282
24.8805,200.0,0.22208,-0.0973,575.0,1.17199
45.782,212.0,0.4096,-0.2124,547.0,0.200305
24.8507,206.0,0.21589,-0.07875,692.0,1.29367
37.0408,223.0,0.29855,-0.1363,670.0,0.323026
75.8072,207.0,0.715,-0.4656,407.0,0.0106856
10.1461,117.0,0.185865,-0.11693,215.0,0.00231044
28.9063,183.0,0.27575,-0.1157,610.0,0.456665
18.4472,169.0,0.2083,-0.08505,538.0,0.216366
24.5775,210.0,0.22895,-0.13875,453.0,0.0453057
59.2306,166.0,0.6939,-0.30855,452.0,0.215971
23.0716,170.0,0.26508,-0.1081,503.0,0.203048
43.5806,147.0,0.5987,-0.2449,421.0,0.418489
44.4758,152.0,0.58735,-0.2375,447.0,0.778317
