PCa,Jup,[TRPN],Gncx,"INaCa,SS",CaMKo,[BSL],aCaMK,bCaMK,"tau,diffCa","Tref,v","TRPN50,v","nTm,v","nTRPN,v","kTRPN,v","rs,v","rw,v","Aeff,v","ku,v","beta1,v","beta0,v","gamma,s,v","gamma,w,v","phi,v","ca50,v","nu,v","mu,v"
7.47691e-05,1.29226,0.0959367,0.00124975,0.372113,0.0517887,0.57441,0.0477583,0.000514194,0.145092,168.903,0.287494,2.31269,1.9735,0.138175,0.334959,0.386569,22.4121,0.0212187,-2.15613,2.13769,0.0106096,0.600008,1.13225,0.971022,6.23881,1.56575
0.000127009,1.34079,0.0863105,0.00410168,0.298494,0.0395918,1.28972,0.0592627,0.000911576,0.178148,85.162,0.357557,2.05999,1.78292,0.14839,0.144167,0.64709,27.4094,0.0136145,-2.31792,1.20772,0.00759902,0.387298,2.69175,1.02389,3.62465,4.39012
9.43376e-05,0.929586,0.0855393,0.00151027,0.856436,0.0419701,0.772759,0.0263757,0.000823306,0.283253,131.077,0.21594,2.44192,2.09753,0.114309,0.169823,0.399708,28.5365,0.0114648,-1.61854,2.96815,0.00801357,0.45454,1.61209,1.09973,7.3934,2.80558
0.000112038,1.11296,0.0893862,0.00156555,0.412421,0.0366983,1.50726,0.0652736,0.000620984,0.20527,129.053,0.514804,2.93006,2.4025,0.0767294,0.326125,0.275146,13.8118,0.0249457,-2.54879,3.13206,0.00884953,0.721518,2.24242,0.500425,4.36269,2.49159
8.06993e-05,1.30278,0.0986938,0.0018827,0.359901,0.0449408,0.706478,0.0501736,0.000572766,0.198851,80.5342,0.465468,2.85708,2.07271,0.0655552,0.155804,0.376554,17.9357,0.0143451,-1.72993,1.97694,0.0111949,0.838356,3.26863,0.546314,8.8352,3.29635
9.03097e-05,0.944152,0.0870232,0.00130296,0.537682,0.0403974,1.0529,0.036421,0.000914194,0.116398,141.996,0.377694,2.63541,2.16844,0.0652423,0.329895,0.493965,18.7742,0.0197871,-1.45282,2.38283,0.00559333,0.648075,2.01543,0.713475,6.11926,2.0402
0.000106585,1.40697,0.104055,0.00177603,0.85351,0.0651751,1.44507,0.0404272,0.000645268,0.279012,165.526,0.280727,1.68725,1.9919,0.0646749,0.171016,0.582125,28.1647,0.0209576,-1.5057,2.73318,0.00802118,0.632189,1.89761,1.11555,9.76061,1.73995
8.89151e-05,0.903248,0.064662,0.000946107,0.259264,0.0276499,1.1545,0.0526902,0.000981092,0.164385,160.346,0.371714,2.01968,2.42082,0.127749,0.236563,0.548911,28.3177,0.011692,-2.18436,2.51748,0.00656029,0.585173,1.84551,0.547938,8.83021,2.93576
4.89798e-05,1.00539,0.0382578,0.00108944,0.412203,0.0477221,0.881855,0.0298846,0.000722259,0.169538,120.492,0.339749,2.48821,2.50148,0.147898,0.332157,0.454926,20.6704,0.0286711,-2.12717,2.78791,0.0116065,0.597814,1.91366,0.755976,10.4525,1.78754
0.000129076,0.949379,0.0910283,0.00159969,0.504719,0.0419409,1.42635,0.0370142,0.000970446,0.214344,138.666,0.238086,2.38195,2.21577,0.143059,0.312194,0.597057,36.3978,0.0257438,-2.00183,2.18334,0.00612448,0.595397,2.90042,0.766461,4.52164,2.62493
